"MachineGuid","Cleared","DateTime","Disqualified","Grade","Guid","Held","LetGo","MissedHold","LifeRemainingSeconds","MachineGuid","MaxCombo","Modifiers","Pad","PercentDP","PlayerGuid","ProductID","Air","Chaos","Fakes","Freeze","Hands","Holds","Jumps","Lifts","Mines","Notes","Rolls","Stream","TapsAndHolds","Voltage","Score","StageGuid","SurviveSeconds","AvoidMine","CheckpointHit","CheckpointMiss","HitMine","Miss","W1","W2","W3","W4","W5","Dir","Title","Difficulty","Level","StepsType","_id","_index","_score","_type"
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"4f65f333-9af3-4fc9-a73b-118f031b8b36",14,0,0,"0.000000",1dda8a3547c7dc6c,289,"2x, Overhead",33,"0.725900",3694d7d8e4a00efb,1,"0.833333","0.725945",0,"1.000000",0,14,18,0,0,"390.000000",0,"0.742347",372,"0.794808",861360,"d0461e5a-477a-41ca-a91e-cf63c44f66e1","128.384186",0,0,0,0,0,161,116,88,7,2,"Songs/16 DDR A/Kurokami midareshi shura to narite ~Rin edition~/","黒髪乱れし修羅となりて～凛edition～",Medium,11,"dance-single",4TGGQWsBSsSJMY2IpBdT,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"4b1381a0-c8d8-4405-a92c-64c6a3a2b416",28,4,6,"0.000000",1dda8a3547c7dc6c,65,"0.79x, Overhead",33,"0.718300",3694d7d8e4a00efb,1,"0.360000","0.718395",0,"0.736842",0,28,24,0,0,"257.000000",0,"0.597902",235,"0.222461",65783157,"a0e15eb9-7397-405d-a449-45c7610e9da4","128.527176",0,0,0,0,11,74,90,52,19,15,"Songs/16 DDR A/Be a Hero!/","Be a Hero!",Beginner,7,"dance-single",lzGGQWsBSsSJMY2ItBmu,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"9be52733-7cee-4563-a31c-90747624f01a",61,0,2,"0.000000",1dda8a3547c7dc6c,96,"2.25x, Overhead",33,"0.615700",3694d7d8e4a00efb,1,"0.607143","0.615766",0,"0.968254",0,61,25,0,0,"622.000000",0,"0.582979",596,"0.149522",720410,"56b70a79-bf7d-4684-a02a-600f68dff63c","128.354416",0,0,0,0,24,235,155,170,33,17,"Songs/16 DDR A/Lost one no goukoku/","ロストワンの号哭",Challenge,15,"dance-single",QTGGQWsBSsSJMY2IpxiS,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"8999546b-d660-4c8d-a87d-67a53a55410c",7,0,0,"0.000000",1dda8a3547c7dc6c,259,"2x, Overhead",33,"0.744100",3694d7d8e4a00efb,1,"0.789474","0.744118",0,"1.000000",0,7,38,0,0,"365.000000",0,"0.792453",327,"0.805177",873380,"c4a94082-940b-49fc-a1c8-4c107fdd014f","94.816109",0,0,0,0,4,157,105,57,8,2,"Songs/16 DDR A/Youkoso Japari Park e/","ようこそジャパリパークへ",Challenge,12,"dance-single",ejGGQWsBSsSJMY2IqRjN,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"30ac5951-bf72-4fb6-ab2c-329614b7d6e2",0,0,0,"0.000000",1dda8a3547c7dc6c,38,"2.5x, Overhead",33,"0.211900",3694d7d8e4a00efb,1,"0.400000","0.211942",0,"0.000000",0,0,2,0,0,"170.000000",0,"0.217221",168,"0.085404",255030,"59ba4af0-bae2-4f58-a7c1-a35337be6809","48.523640",0,0,0,0,11,63,46,42,15,13,"Songs/16 DDR A/Electric Dance System Music/","Electric Dance System Music",Hard,14,"dance-single",1jGGQWsBSsSJMY2Ioxf6,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"d2f76d87-b423-485e-aed4-b20ff27063a6",24,0,0,"0.000000",1dda8a3547c7dc6c,89,"2.25x, Overhead",33,"0.666000",3694d7d8e4a00efb,1,"0.457627","0.666000",0,"1.000000",0,24,55,0,0,"515.000000",0,"0.654206",459,"0.155242",785580,"cc8018f9-8dd7-4d3d-ad27-24e7057fbc97","135.530945",0,0,0,0,12,187,124,118,29,6,"Songs/16 DDR A/Eternal Summer/","Eternal Summer",Hard,13,"dance-single",3TGGQWsBSsSJMY2IpBcy,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"d0dc3422-239c-479f-a54c-92e149b145db",15,0,0,"0.000000",1dda8a3547c7dc6c,82,"2x, Overhead",33,"0.653700",3694d7d8e4a00efb,1,"0.625000","0.653752",0,"1.000000",0,15,22,0,0,"528.000000",0,"0.642468",504,"0.165516",771350,"60083019-7d32-4add-ade4-67daa629db59","118.691299",0,0,0,0,13,209,127,137,31,10,"Songs/16 DDR A/Role-playing game/","ロールプレイングゲーム",Hard,14,"dance-single",8TGGQWsBSsSJMY2IpBfa,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"79ba9380-1622-4028-a01a-0110041340d1",40,0,0,"0.000000",1dda8a3547c7dc6c,68,"2x, Overhead",33,"0.343600",3694d7d8e4a00efb,1,"0.357143","0.343694",0,"0.634921",0,40,18,0,0,"384.000000",0,"0.310638",366,"0.080984",410040,"47e1af1f-299e-40a7-aa1d-1e7aea9d29b5","83.779465",0,0,0,0,22,113,92,120,39,10,"Songs/16 DDR A/Lost one no goukoku/","ロストワンの号哭",Challenge,15,"dance-single","_TGGQWsBSsSJMY2IpRdB",stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"72687051-5d40-4b3d-a325-219a2891568c",30,1,0,"0.000000",1dda8a3547c7dc6c,214,"2x, Overhead",33,"0.799200",3694d7d8e4a00efb,1,"0.783333","0.799263",0,"0.967742",0,30,59,0,0,"389.000000",0,"0.813299",329,"0.655104",897840,"372e54dd-78a8-432f-a729-469d5fa34f0f","111.554779",0,0,0,0,2,187,84,49,9,0,"Songs/16 DDR A/Love Shine wonderful mix/","Love♡Shine わんだふるmix",Hard,11,"dance-single",FTGGQWsBSsSJMY2IphgB,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"ebf8925a-2758-4075-a5d5-29af2addc7d6",6,0,0,"0.000000",1dda8a3547c7dc6c,108,"2.25x, Overhead",33,"0.338900",3694d7d8e4a00efb,1,"0.250000","0.338983",0,"0.500000",0,6,7,0,0,"278.000000",0,"0.332710",271,"0.217860",407160,"219e39c8-7c01-4b3c-a0c9-1dc4bcf6da71","70.280205",0,0,0,0,16,100,72,79,20,7,"Songs/15 DDR 2014/Setsuna Trip/","セツナトリップ",Hard,14,"dance-single",LTGGQWsBSsSJMY2IsBnW,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"60a5e459-6298-442d-abb2-80149d41fa8e",13,0,0,"0.000000",1dda8a3547c7dc6c,148,"2x, Overhead",33,"0.634600",3694d7d8e4a00efb,1,"0.730769","0.634630",0,"1.000000",0,13,26,0,0,"436.000000",0,"0.631111",410,"0.372730",764250,"3d1445e0-9bb4-45e1-a7ac-e8178b6c518d","94.856339",0,0,0,0,11,149,112,122,27,3,"Songs/16 DDR A/Youkoso Japari Park e/","ようこそジャパリパークへ",Hard,14,"dance-single",ozGGQWsBSsSJMY2ItRkG,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier03,"810063e4-227b-4d36-a864-e5c7d13e13fc",15,0,0,"0.000000",1dda8a3547c7dc6c,342,"2.25x, Overhead",33,"0.787100",3694d7d8e4a00efb,1,"0.833333","0.787115",0,"1.000000",0,15,6,0,0,"348.000000",0,"0.833333",342,"0.999857",912940,"8082a98d-7d80-4280-a91b-025bb65c2deb","107.494308",0,0,0,0,0,175,110,53,4,0,"Songs/16 DDR A/Dadadadadadadadadada/","打打打打打打打打打打",Medium,11,"dance-single",3DGGQWsBSsSJMY2ImhZq,stepmania,,result
